original;translation
Age Virginity lost;Věk ztráty panenství
Air polution;Znečištění ovzduší
Alcohol consumption;Spotřeba alkoholu
Bachelor education;VŠ vzdělání
Cannabis Use;Spotřeba marihuany
Control of Corruption;Kontrola korupce
debt_to_GDP;Dluh/HDP
Ecological Threat Report;Ekologická rizika
Employment in agriculture;Práce v zemědělství
Employment in services;Práce ve slžbách
Export;Export
Female in management;Ženy v managementu
Female in parliament;Ženy v parlamentu
Fertility;Plodnost
Forrest area;Lesní plocha
GDP per capita;HDP na obyv.
GINI Index;GINI index
Global Peace Index;Index míru
Global Promiscuity Index;Index promiskuity
Global Terrorism Index;Index terorismu
Govt_High_Trust;Vysoká důvěra ve vládu
Govt_Low_Trust;Nízká důvěra ve vládu
High-technology exports;High-tech export
House_Price To Income Ratio;Dostupnost bydlení
Infrastructure quality;Kvalita infrastruktury
LGBT Equality index;LGBT rovnost
LGBT Legal index;LGBT legislativa
LGBT Public Opinion index;LGBT veřejný postoj
Life expectancy;Délka života
Military expenditure;Výdaje na obranu
Money From Abroad;Příjmy ze zahraničí
Population density;Hustota osídlení
Positive Peace Index;Index pozitivního míru
Press Freedom Index Rank;Svoboda tisku
property_Own outright;Bydlení bez hypotéky
Property_Owner with mortgage;Bydlení s hypotékou
Protected area;Chráněná území
relig_Buddhists;Buddhisté
Relig_Christians;Křesťané
relig_Hindus;Hinduisté
Relig_Muslims;Muslimové
relig_Unaffiliated;Bez vyznání
Renewable energy consumption;Obnovitelná energie
Research and development expenditure;Výdaje na výzkum
Rural population;Venkovská populace
Sexual Partners;Poč. sex. partnerů
Socal contributions;Sociální odvody
Social benefits expense %GDP;Sociální výdaje
Traffic mortality;Úmrtnost v dopravě
Unemployment;Nezaměstnanost
Urban population;Městská populace
World Sport Ranking;Sportovní úspěchy
