original;translation
Albania;Albánie
Austria;Rakusko
Belarus;Bělorusko
Belgium;Belgie
Bosnia and Herzegovina;Bosna
Bulgaria;Bulharsko
Canada;Kanada
China;Čína
Croatia;Chorvatsko
Czechia;Česko
Denmark;Dánsko
Estonia;Estonsko
Finland;Finsko
France;Francie
Georgia;Gruzie
Germany;Německo
Greece;Řecko
Hungary;Maďarsko
Iceland;Island
Ireland;Irsko
Italy;Itálie
Japan;Japonsko
Latvia;Lotyšsko
Lithuania;Litva
Moldova;Moldávie
Montenegro;Černá Hora
Netherlands;Nizozemsko
New Zealand;Nový Zéland
Norway;Norsko
Poland;Polsko
Portugal;Portugalsko
Romania;Rumunsko
Russian Federation;Rusko
Serbia;Srbsko
Slovak Republic;Slovensko
Slovenia;Slovinsko
Spain;Španělsko
Sweden;Švédsko
Switzerland;Švýcarsko
Turkiye;Turecko
Ukraine;Ukrajina
United Kingdom;Velká Británie
United States;Spojené Státy
